City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
591,Sawakin,SD,81.19,clear sky,19.1059,37.3321,فندق الدويم
593,Upanema,BR,81.64,overcast clouds,-5.6419,-37.2578,Hotel Central de Upanema
595,Jibuti,DJ,76.5,clear sky,11.5,42.5,Orchid Main Camp Goubet
596,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
598,Terre-De-Bas,GP,81.91,overcast clouds,15.8501,-61.6442,Hôtel Bois Joli
601,Chanderi,IN,87.21,clear sky,24.7167,78.1333,SHRIKUNJ - Hotel and Restaurant
602,Wajir,KE,83.98,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
603,Laem Sing,TH,85.14,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
607,Houston,US,89.35,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
610,Touros,BR,80.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
618,Sambava,MG,75.4,broken clouds,-14.2667,50.1667,Melrose
621,Bandrele,YT,78.55,clear sky,-12.9067,45.1914,Les Baobabs
622,Ovalle,CL,75.83,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
626,Cape Coast,GH,80.92,overcast clouds,5.1053,-1.2466,Samrit Hotel
629,Altagracia De Orituco,VE,85.32,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
634,Ugoofaaru,MV,83.95,overcast clouds,5.6667,73.0,Ungoofaaru Inn
637,Varca,IN,79.59,few clouds,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa Benaulim"
638,Fuerte Olimpo,PY,80.1,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
640,Esna,EG,89.42,scattered clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
642,Noumea,NC,77.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
646,Azare,NG,82.31,light rain,11.6765,10.1948,Mallam Ayuba Compound
