City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
162,Georgetown,MY,5.4112,100.3354,82.33,89,20,0.0,few clouds
163,Westport,US,41.1415,-73.3579,51.62,36,20,18.41,few clouds
164,Salinopolis,BR,-0.6136,-47.3561,79.11,85,100,9.53,moderate rain
165,Athabasca,CA,54.7169,-113.2854,38.64,40,100,0.85,overcast clouds
166,Kamaishi,JP,39.2667,141.8833,46.96,80,21,5.55,few clouds
167,Campeche,MX,19.0,-90.5,103.37,18,0,4.23,clear sky
168,Vestmanna,FO,62.1564,-7.1664,45.52,93,100,9.22,overcast clouds
169,Ruidoso,US,33.3317,-105.673,76.05,6,0,17.27,clear sky
170,Boden,SE,65.8252,21.6886,35.6,98,100,1.83,overcast clouds
171,Ukiah,US,39.1502,-123.2078,68.43,41,0,9.22,clear sky
172,Merrill,US,45.1805,-89.6835,45.37,43,0,5.75,clear sky
173,Corinto,GR,37.9407,22.9573,56.89,78,100,6.33,overcast clouds
174,Vila Velha,BR,-20.3297,-40.2925,76.95,79,75,13.8,broken clouds
175,Maniitsoq,GL,65.4167,-52.9,25.38,82,100,4.56,overcast clouds
176,Dicabisagan,PH,17.0818,122.4157,76.01,87,95,5.75,overcast clouds
177,Christchurch,NZ,-43.5333,172.6333,58.91,75,16,4.0,few clouds
178,Gat,IL,31.61,34.7642,90.28,18,13,17.38,few clouds
179,Amboasary,MG,-25.0333,46.3833,72.84,88,98,5.64,overcast clouds
180,Pisco,PE,-13.7,-76.2167,69.03,77,0,10.36,clear sky
181,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,12.66,light snow
182,Adrar,MR,20.5022,-10.0711,81.93,12,17,11.25,few clouds
183,Sotouboua,TG,8.5667,0.9833,82.42,54,90,3.76,overcast clouds
184,Idrinskoye,RU,54.3708,92.1358,48.9,63,100,3.24,overcast clouds
185,Ascension,US,30.2169,-90.9001,84.99,65,75,11.5,broken clouds
186,Tulum,MX,20.2167,-87.4667,86.72,49,0,7.67,clear sky
187,Zainsk,RU,55.3195,52.0694,32.99,98,100,4.54,snow
188,Husavik,IS,66.0449,-17.3389,40.51,98,100,2.15,light rain
189,Cabedelo,BR,-6.9811,-34.8339,81.27,78,78,7.16,broken clouds
190,Cayenne,GF,4.9333,-52.3333,82.44,1,20,9.22,few clouds
191,Kaitangata,NZ,-46.2817,169.8464,46.09,82,4,3.49,clear sky
